,headline,url,date,speech_text
0,"
Звернення Президента з нагоди Дня українського добровольця
",https://www.president.gov.ua/news/zvernennya-prezidenta-z-nagodi-dnya-ukrayinskogo-dobrovolcya-53874,14 березня 2019 року - 10:01,"Шановні воїни!
Дорогі добровольці!
Як Президент, як Верховний Головнокомандувач щиро вітаю вас із Днем українського добровольця!
Цей день нагадує нам про нещодавні, але вже історичні події, учасниками яких ми з вами були і є. У лютому 2014 країна перебувала в травматичному шоці від брутального розстрілу Небесної сотні. Але вірилося, що найстрашніше вже позаду. Попереду ж, думалося, – мир і відродження демократичної, європейської, української України.
Тоді ми ще не знали, що смерті мирних людей не остання трагедія, а перша кривава спецоперація в російській військовій агресії. «Зелені чоловічки», окупація, а потім і анексія Криму, проросійські провокації на Донбасі. Ворог завдав підлого удару в найскладніший для нас перехідний період, коли нова демократична влада тільки намагалася взяти ситуацію в країні під контроль.
Кремль був абсолютно впевнений в успіхові свого бліц-кригу. Там знали, що українська армія розкрадена, зруйнована зсередини й практично небоєздатна. Нічого дивного, адже руйнація Збройних сил України протягом тривалого часу відбувалася саме під керівництвом російських кураторів.

Та коли у березні 2014 року стало ясно, що розпочинається війна, що під загрозою наша незалежність і що Україна практично безборонна, трапилося те, чого ворог ніяк не очікував: український народ миттєво самоорганізувався. А сотні Самооборони Майдану вирішили взяти на себе відповідальність за захист Вітчизни. Так виник масовий добровольчий рух, який став основою і рушійною силою нового українського війська. Саме 14 березня 2014 року понад п’ять сотень бійців-добровольців прибули на полігон в Нові Петрівці Київської області, що й стало початком славного бойового шляху першого добровольчого батальйону. Добре пам’ятаю той день, бо мав честь тоді бути серед вас.
У короткий термін студентам і науковцям, бізнесменам і робітникам, лікарям і митцям довелось перетворитися на професійних солдатів. Добровольчі батальйони вступили в бій з російськими інтервентами та їхніми місцевими колаборантами.
Особовий склад батальйону серед перших увійшов до Слов’янська, захопивши штаб сепаратистів та арсенал озброєння. Залучався до бойових операцій в Красному Лимані, Бахмуті, Попасній, Дебальцевому, Станиці Луганській, Вуглегірську, Мар’їнці, Авдіївці та в інших місцях. 162 бійці вашого підрозділу нагороджено державними нагородами. 23, на жаль, посмертно.
Серед них — Герой України генерал Кульчицький. В критичний для долі держави момент опинившись в епіцентрі подій, взяв на себе тягар відповідальності за формування боєздатних підрозділів новоствореної Національної гвардії України. Суворий час вимагав саме таких людей, спроможних поєднати професійну компетентність, бойовий досвід, глибокий патріотизм, відданість присязі, надзвичайну особисту хоробрість. Прошу схилити голови перед світлою пам’яттю усіх полеглих героїв, та вшанувати їх хвилиною мовчання.

П’ять років тому своїм першочерговим завданням визначив негайне відродження армії. І ось тепер українське військо входить до числа найкращих армій континенту. Його боєздатність зростає щодня. І тижня не минає без повідомлень про отримання нею нової зброї, створеної на українських оборонних підприємствах. Ми підвищуємо забезпечення й зарплату нашого солдата й офіцера. Активно запроваджуємо стандарти НАТО й навчаємося у західних партнерів. А сьогодні вже й наші партнери вчаться на нашому бойовому досвіді.
Колишні добровольчі підрозділи тепер інтегровані до лав Збройних Сил або Національної гвардії. Вони добре підготовлені, вишколені та оснащені. Зараз лечу на фронт, щоб відвідати один із таких підрозділів.
Держава дбає про захист українського народу, постійно підвищуючи боєготовність та бойову міць усього силового блоку. Ніколи не повторимо помилок минулого, адже саме послаблення армії створило ґрунт для агресії проти України. І ми ніколи не забудемо подвигу добровольців. Бо немає міри глибини нашої вдячності тим, хто одним з перших пішов у бій, і дав всій Україні найцінніше на той момент — час. Перші — завжди найвідважніші. Низький вам уклін!
Вітаю вас із п’ятою річницею створення вашого славетного підрозділу. Вітаю вас із Днем українського добровольця!
Від імені всього Українського народу дякую вам за ваш ратний подвиг і за службу Вітчизні.
Слава Україні!"
1,"
Виступ Президента України на дебатах Генеральної Асамблеї ООН з питання: «Ситуація на тимчасово окупованих територіях України»
",https://www.president.gov.ua/news/vistup-prezidenta-ukrayini-na-debatah-generalnoyi-asambleyi-53282,20 лютого 2019 року - 18:18,"Пані Голово,
Ваші Високоповажності,
Пані і Панове,
Я хотів би розпочати зі слів глибокої вдячності Голові Генеральної Асамблеї ООН, пані Марії Фернанді Еспінозі Гарсес за її ефективне керівництво роботою найбільш представницького та головного органу ООН з вироблення політичних рішень.
На сьогодні припадає п’ята річниця з початку іноземної збройної агресії проти моєї країни, України.
Я хочу висловити глибоку вдячність Генеральній Асамблеї ООН, яка упродовж усіх цих років займала рішучу позицію на підтримку України у боротьбі з агресією та окупацією.
П’ять років тому сотня невинних життів, не лише українців, але й білорусів, вірмен, євреїв та багатьох інших, були віддані заради незалежності, гідності та свободи України.
Коли після загибелі Небесної сотні у Києві Генеральна Асамблея ООН схвалила резолюцію на підтримку територіальної цілісності та суверенітету України, за яку проголосували сотня держав, це було не лише символічно, але й правильно.
Асамблея підтвердила свою вагому роль у розгляді питань, які стосуються підтримання міжнародного миру і безпеки.
Кожного року, коли я брав участь в загальнополітичних дебатах Генеральної Асамблеї, я відчував високий рівень співпереживання з українським народом.
Співпереживання, яке підкріплене практичними кроками.
Як це було у випадку, коли Генеральна Асамблея, не гаючи часу, схвалила резолюцію у березні 2014 року, яка підтвердила суверенітет України у її міжнародно визнаних кордонах. Це була своєчасна реакція на незаконні спроби Росії перекроїти кордони в Європі шляхом незаконної анексії Криму.
Так само, коли Генеральна Асамблея уже третій рік поспіль схвалила резолюцію щодо стану прав людини в Автономній Республіці Крим та місті Севастополі.
Хай багатьом важко повірити, проте ця резолюція визнає Росію, постійного члена Ради Безпеки ООН (!), державою-окупантом (!).
Як це також було й у випадку, коли лише кілька місяців тому Генеральна Асамблея підтримала звернення України та схвалила резолюцію із засудженням мілітаризації Криму, Чорного та Азовського морів.
Я вдячний за збереження такого високого рівня уваги Асамблеї до України та нашого регіону, в якому Росія поводиться дедалі більш агресивно, як на суходолі, так і на морі.
Здатність ООН належним чином відреагувати на цей виклик матиме, беззаперечно, прямий вплив на майбутнє міжнародного порядку, заснованого на правилах.
Сьогоднішній розгляд Генеральною Асамблеєю ООН нового пункту порядку денного «Ситуація на окупованих територіях України» є чітким свідченням готовності Асамблеї вирішувати нагальні питання сучасності.
Пані Голово,
Саме цього дня у 2014 році Росія розпочала свою приховане збройне вторгнення в Україну в порушення норм і принципів Статуту ООН.
Того року, 3 березня, ця війна забрала свою першу жертву: Решата Аметова, кримського татарина.
Він виступив з одноосібною мирною протестною акцією проти агресії.
Росіяни затримали його, мордували та вбили.
Причина смерті – ножове поранення в око.
Це був лише початок жахіть в окупованому Росією Криму.
Просто подумайте про той факти, що упродовж п’яти років народ України живе в умовах найтривалішого в сучасній історії Європи гарячого конфлікту.
Росія розпочала війну проти свого сусіда, якого називає «братнім», та не демонструє жодного наміру зупинитися.
Майже кожного дня ми втрачаємо наших найкращих синів та дочок.
Через що моє серце щодня обливається кров’ю.
Це те, що я ніколи не зможу прийняти.
Спершу Росія захопила Крим, потім перетворила Донбас на поле бою, а далі поширила свою агресію на Азовське та Чорне моря і Керченську протоку.
В результаті 44 тис. кв км або 7% території України, включно з Кримом та східними районами Донецької і Луганської областей, наразі окуповані.
Збройна агресія Росії забрала життя 13 тис. осіб і більше 28 тис. осіб зазнали  поранень. І ця цифра включає також 298 пасажирів рейсу МН17, який був збитий у липні 2014 року російськими військовими з ракетної системи БУК.
Більше 1,8 мільйонів жителів Криму і Донбасу були змушені залишити свої домівки внаслідок російської агресії та окупації.
Колись мирне життя людей у цих регіонах перетворилося на жах, позначений страхом і терором.
Однак вони не перетворилися на хвилю еммігрантів і не створили жодних проблем для наших європейських союзників.
Ми змогли впоратися з цим викликом та продемонстрували, що контрольована урядом частина України є набагато більш життєздатною і здоровою порівняно з окупованими територіями.
Як і в будь-якій війні, першою жертвою московської агресії стала правда.
Окупація розпочалася з горезвісних «маленьких зелених чоловічків» та безсоромного і категоричного заперечення Кремлем своєї військової участі у захопленні українського Криму.
Натомість, світу і громадськості згодовувалась брехня про «міфічні загони самооборони», які дивним чином за одну ніч виявилися озброєними найновішими зразками російської зброї.
Лише пізніше російський Президент відкрито визнав, що це насправді була операція російських збройних сил.
Одкровення Путіна перетворює російський наратив щодо так званого «місцевого референдуму» на сюр.
Голосування відбувалося під дулом автоматів, і це було нічим іншим, аніж частиною агресивних планів Росії.
Я ще раз повторюю: референдум у березні 2014 року був фальшивкою.
Я сам був цьому свідком, коли перебував у Криму наприкінці лютого 2014 року.
Я підійшов до дверей будівлі парламенту Криму, щоб поговорити та припинити цей фарс. Сам. Без охорони. Я на власні очі бачив, що будівля була оточена російськими військовими.
Це не мало нічого спільного ані з демократією, ані з вільним волевиявленням людей.
Росія також прагнула поширити хаос на усі східні та південні регіони України.
Лише завдяки опору нашого народу, який відмовився бути жертвою «русского міра», була зупинена подальша окупація.
На жаль, пряма збройна інтервенція регулярних російських військ призвела до окупації частини Донецької і Луганської областей.
13 квітня 2014 року ця війна забрала свою першу жертву на Донбасі.
Його звали Геннадій Біліченко.
Він був українським офіцером, який входив до групи, що мала чіткий наказ «не відповідати на провокації».
Тоді у нас ще були ілюзії, що війни можна уникнути.
Його група потрапила у засідку поблизу Слов’янська.
Геннадій загинув від автоматного вогню.
Шість днів потому, ті самі російські військові затримали Володимира Рибака, місцевого політичного діяча у місті Горлівка, який хотів у своєму місті підняти прапор України.
Разом з ним був дев’ятнадцятирічний активіст Юрій Поправко.
Їх піддали тортурам, розрізали животи та скинули, ще живих, у ріку.
Ось як розпочалася війна на Донбасі.
Ми знаємо, хто це зробив! І ми знаємо, як вони це зробили!
Кремль продовжує заперечувати будь-яку участь російських військових у війні на Донбасі попри наявність беззаперечних доказів, які доводять протилежне.
Зовсім нещодавно 21 російський військовий, які були захоплені в полон на полі бою і наразі перебувають під вартою в Україні, звернулися до Президента Путіна з проханням обміняти їх на українських політичних заручників, утримуваних Росією.
Кремль жодним чином не відреагував. Це лише демонструє наскільки байдужа російській владі доля тих, кого вона відправила на цю неоголошену війну.
Протягом п’яти років Москва продовжує направляти регулярні збройні сили та найманців на Донбас.
Донбас у буквальному сенсі перетворився на конвеєр для російської машини вбивств.
Вершиною цинізму є те, що вони навіть направляють на Донбас курсантів військових училищ проходити практику на полі бою.
На місці матерів я б запитав у російського Президента, де перебувають їхні сини?
Минулого листопада російські військово-морські сили здійснили прямий, брутальний та нічим не спровокований напад на українські військові кораблі у міжнародних водах Чорного моря.
Такі дії Росії цілком і повністю підпадають під визначення агресії згідно з відповідною резолюцією Генеральної Асамблеї ООН 1974 року.
В результаті, українські судна були пошкоджені і захоплені, а 24 члени екіпажів, були взяті в полон і наразі незаконно утримаються Росією.
Хочу наголосити: вони не є кримінальними злочинцями; до них мають ставитися як до військовополонених згідно з нормами Женевських конвенцій.
Але Росія не чує численні заклики негайно і без жодних умов звільнити захоплених моряків. Зокрема заклик відповідної резолюції, схваленої Генеральною Асамблею у грудні минулого року.
Сьогодні я привіз із собою звернення до Генерального Секретаря ООН з проханням тиснути на Москву для звільнення українських моряків.
Його підписали тисячі українців за останні декілька днів. І я виступаю від імені їх усіх. Ми щиро розраховуємо на вашу підтримку.
Це заклик, підписаний українськими лідерами. А це список підписів. Зараз вони в Нью-Йорку і я передаю їх Генеральному Секретарю.
Московська гібридна війна включає також таємні операції та хакерські атаки на українські установи та критичну цивільну інфраструктуру.
Такий вид російської діяльності вже добре відомий далеко за межами України.
Крім того, Росія веде безпрецедентну пропагандистську війну проти України - війну, яка фактично почалася до того, як перші жертви загинули на Майдані в Києві.
Кожного дня, без перерв на свята і вихідні, всі основні телевізійні канали Росії транслюють потоки брехні і сфальшованих новин про Україну.
Ця брехня особливо спрямована на населення окупованих територій, де блокуються українські теле- та радіоканали.
Це є фактично державною машиною ненависті, яка працює 24/7.
Україна є темою №1, №2 і №3 в російських новинах і ток-шоу.
Вони розглядають Україну як внутрішнє, а не зовнішнє питання.
П'ять років тому ця війна почалася під приводом захисту російськомовних в Україні.
Зараз вона продовжується під приводом захисту православних.
Президент Путін публічно підтвердив свою готовність використати для цього військову силу у відповідь на створення Україною власної незалежної православної церкви.
Продовжуючи неоголошену війну проти моєї країни, Кремль відчайдушно намагається переконати міжнародне співтовариство, що він не є стороною цього конфлікту.
Він говорить, що це внутрішній конфлікт України, в якому Росія лише виступає у ролі об’єктивного і неупередженого посередника.
Це насправді викривлена реальність, яку Російська Федерація намагається розповсюдити.
Деякі можуть спокуситися російським наративом заради політичної доцільності.
Сьогодні я стою тут, щоб чітко заявити – не допустимо перемоги цієї брехні.
Ми будемо боротися до кінця проти будь-яких спроб представити російську агресивну поведінку щодо моєї країни інакше, аніж те, чим вона є насправді - війною, яка ведеться безпосередньо на очах міжнародного співтовариства.
Давайте визначимось раз і назавжди.
Не існує так званої «кризи в Україні» чи «внутрішнього конфлікту в Україні», але є триваюча військова окупація і збройна агресія з боку Росії проти України.
Варто відзначити, що доповідь прокурора МКС визнала конфлікт у Криму та Донбасі як збройний конфлікт між Росією та Україною, а спробу Росії анексувати Крим – як триваючий стан окупації.
В голові не вкладається, що навіть після всіх цих рішень Російська Федерація досі намагається представити себе як мирну державу, яка повністю виконує свої зобов'язання за Статутом ООН.
Там немає так званих «де-факто властей» – а є російська окупаційна адміністрація на тимчасово окупованих територіях Донбасу і Криму, а також російські державні органи і відомства, які відповідають за управління ними.
Там немає повстанців – а є російські регулярні війська під керівництвом Міністерства оборони та підрозділи сил спеціального призначення та таємних служб.
Там немає заколотників – а є російські радники, інструктори та незаконні збройні формування, створені, озброєні, фінансовані і контрольовані Росією.
Пані Голово,
Для кращого розуміння ціни, яку платить Україна за свою свободу і демократію, я хотів би поділитися з вами деякими цифрами, які говорять самі за себе.
Станом на лютий 2019 року в окупованому Криму Росія розмістила до 32,5 тис. військових, 88 артилерійських систем, 52 реактивні системи залпового вогню, 372 бойові броньовані машини, 113 бойових літаків, 62 бойові гелікоптери, 6 бойових суден і 6 підводних човнів, які оснащені морськими системами крилатих ракет «Калібр».
Не можна виключати й можливе розгортання ядерної зброї на півострові. Інфраструктура вже розбудована, і Росія використала останні п'ять років для її відновлення та модернізації.
Отже, ми спостерігаємо безпрецедентну мілітаризацію Чорноморського регіону.
Росія змінює стратегічний баланс у регіоні та далеко за його межами. Вона перетворює Крим на стартовий майданчик для своїх ракет. Хто-небудь все ще має ілюзії, чому Росія зробила все, щоб зруйнувати ДРСМД? Не будьте наївними: Росія перетворює на військову базу будь-яку територію, яку вона захоплює або бере під свій контроль.
На Донбасі російські збройні формування мають 496 танків. Для вашої інформації: ця кількість є більшою, ніж у Німеччини чи Франції, Іспанії чи Італії. Саме Україна стримує цю російську силу - силу, яка, окрім того, налічує 938 броньованих бойових машин, 128 реактивних систем залпового вогню, 776 артилерійських систем (у тому числі самохідних). Україна по суті стала реальним східним флангом НАТО в захисті трансатлантичної свободи і демократії.
Минулого року Спеціальна моніторингова місія ОБСЄ на Донбасі неодноразово знімала на відео конвої російської військової техніки, які незаконно перетинали ділянку українсько-російського кордону, що не контролюється українською владою.
Спостерігачі також визначили наявність на окупованій території новітніх російських систем радіоелектронної війни та радіорозвідки, а також електронних систем глушіння БПЛА.
Ці системи ніколи не були у розпорядженні українських збройних сил. Є тільки одна країна, здатна їх виробляти і постачати: Росія!
Щоб приховати ці незаконні поставки, Російська Федерація просто блокує моніторингову діяльність СММ ОБСЄ в районах поблизу тимчасово неконтрольованої частини державного кордону.
СММ також продовжує потерпати від масштабних обмежень у своїй щоденній діяльності на окупованій території.
Користуючись нагодою, я хотів би висловити вдячність усім країнам, які активно сприяють роботі СММ ОБСЄ.
Повертаючись до цифр, я маю підкреслити, що загальна чисельність незаконних збройних формувань зараз складає близько 35 тисяч бойовиків, а також 2 100 військовослужбовців з російських регулярних збройних сил.
Загальна чисельність російських збройних сил вздовж російсько-українського кордону становить понад 87 тис. військових.
Військові експерти однозначно визначать, що озброєне угрупування на російському кордоні з Україною є наступальною ударною групою. Це не має нічого спільного з обороною. Вони призначені для військового удару. До цього готується Кремль.
Тому подальша ескалація до рівня повномасштабної війни не є такою вже нереальною перспективою.
Ось чому ми повинні забезпечити всебічний моніторинг у реальному часі ситуації вздовж російського кордону з Україною. Знаючи агресора, як його знаю я, хотів би запевнити вас, що найбільше він боїться прозорості, публічної уваги і обізнаності світу з його планами.
Ціна, яку ми платимо за російську авантюру на Донбасі, має широкий і багатовимірний характер.
Окрім прямих воєнних наслідків, Україна стикнулася з найбільш масштабними гуманітарними викликами з часів незалежності.
Об'єкти критичної інфраструктури, електропостачання, газо- і водопроводи, пошкоджені обстрілами, вимагають термінового ремонту.
Мирне населення продовжує стикатися з серйозними ризиками для своєї безпеки через насичення окупованої частини Донбасу мінами та іншими вибухонебезпечними предметами.
Ці райони, за висновком ООН, вже стали найбільш замінованим регіоном у світі.
Щоб подолати гуманітарні наслідки російської військової агресії, за останні п'ять років агенції ООН зібрали понад 460 млн. дол. США.
Ми вдячні за допомогу, надану нашими міжнародними партнерами мільйонам людей, які цього потребують.
Економічні та екологічні збитки, завдані російською окупацією, також величезні.
27% промислового потенціалу Донбасу незаконно переміщено до Росії, включаючи обладнання 33 місцевих промислових гігантів.
Решта підприємств не можуть повноцінно функціонувати через брак професійних кадрів, фінансових ресурсів та втрати коопераційних зв’язків з іншими частинами України.
Екологічна ситуація на окупованому Донбасі також погіршується, зокрема через затоплення вугільних шахт, що створює ризик забруднення води.
Біля лінії контакту існує низка потенційно небезпечних об'єктів, які через регулярні обстріли збройними формуваннями Російської Федерації можуть стати епіцентром екологічної та технологічної катастрофи.
І це далеко не повний перелік проблем, які принесла на нашу землю російська агресія.
Пані Голово,
Я хотів би привернути вашу увагу до ситуації з правами людини на окупованих Росією територіях України – люди, наші громадяни, продовжують щоденно страждати від російської агресії.
Вбивства, тортури, переслідування, сексуальне насильство, свавілля й арешти, насильницькі зникнення та переслідування журналістів, правозахисників, працівників соціальних медіа та блогерів стали щоденною реальністю для мешканців окупованих територій.
Люди живуть у страху отримати ярлик екстремістів, терористів або українських шпигунів і ризикують бути кинутими за ґрати або зникнути безслідно.
Окупаційні адміністрації запровадили огидну практику вибивання під тортурами неправдивих визнань у рамках політично мотивованих переслідувань.
Вільне віросповідання там також під загрозою.
Нещодавно окупаційна влада вимагала полишити будівлю церкви в Сімферополі, яка довгі роки належала українським православним парафіянам.
Моніторингова місія ООН з прав людини, яка була запрошена Урядом України, продовжує повідомляти про зростаючу кількість порушень прав людини та зловживань на тимчасово окупованих територіях.
Ефективне виконання її мандата ускладнюється постійною відмовою Росії забезпечити доступ для спостерігачів ООН до окупованого Криму та частин Донецької та Луганської областей.
У квітні 2017 року Міжнародний Суд ООН схвалив наказ про тимчасові заходи у справі «Україна проти Російської Федерації».
У своєму рішенні Міжнародний Суд вимагає від Росії утримуватися від збереження чи запровадження обмежень на право кримських татар зберігати свої представницькі інституції, включаючи Меджліс, і забезпечити право українських громадян на вивчення української мови.
Як і багато інших рішень в рамках цієї Організації, в тому числі і тих, що були схвалені Асамблеєю в серпні, обов’язковий до виконання наказ Суду залишається невиконаним Російською Федерацією.
Питання, пов'язані з незаконними діями Росії проти України та її народу, зараз розглядаються Міжнародним кримінальним судом, Міжнародним Судом ООН, Європейським судом з прав людини та в рамках арбітражного розгляду відповідно до Конвенції ООН з морського права.
І тому я високо ціную неймовірний прояв підтримки та солідарності з Україною в усьому світі.
Ми також повинні подвоїти зусилля для звільнення понад 70 українських заручників, які утримуються в Росії та Криму, а також для обміну затриманих, як це передбачено Мінськими домовленостями.
Лише минулого року Україна передала Росії 13 пропозицій щодо потенційного обміну затриманих. Кремль проігнорував їх усі.
Я переконаний: незважаючи на те, що Кремль залишається сліпим і глухим, міжнародний тиск і неминуча відповідальність за серйозні порушення прав людини є єдиним способом зупинити зловживання Москви в цій сфері.
Я закликаю всі ваші країни подвоїти зусилля та вимагати від РФ поваги до прав людини, а також безумовного звільнення та повернення всіх українських заручників і військовополонених.
Пані Голово,
Україна - миролюбна нація без планів експансії або територіальних претензій.
Ми не зазіхнули на жоден сантиметр суверенітету і територіальної цілісності Росії.
Максимальна повага до Статуту ООН і до Гельсінських принципів ОБСЄ була основою нашої зовнішньої політики з моменту здобуття незалежності.
Більше того, я хотів би звернути вашу увагу на події грудня 1994 року в Будапешті, коли Україна відмовилася від третього в світі арсеналу ядерної зброї в обмін на гарантії безпеки.
У 2014 році у відповідь на нашу добру волю одна із підписантів Будапештського Меморандуму - Російська Федерація - встромила нам ніж у спину.
Удавшись до військової агресії проти України, Росія порушила всі можливі основоположні норми і принципи міжнародного права, включаючи Статут ООН.
Статут, який доручає членам Ради Безпеки підтримувати міжнародний мир і безпеку, а не розв'язувати конфлікти у всьому світі.
Що ж може зробити міжнародна спільнота щодо Росії?
Наприклад, у 1939 році за свою агресивну поведінку Москва була виключена з Ліги Націй – правильний і виправданий хід.
Можливо, настав час поставити Росію на місце –  почати з позбавлення її права вето, принаймні, коли йдеться про питання російської агресії проти України?
Що ще ми могли зробити для того, щоб принести мир в Україну і знайти тривале рішення у протидії російській агресії?
Ще в березні 2015 року я звернувся до Ради Безпеки ООН з проханням розмістити на території України миротворчу операцію під егідою ООН.
Ця ініціатива була заблокована Російською Федерацією, яка відкинула можливість повноцінного залучення ООН до врегулювання конфлікту.
Російська Федерація спотворила саму ідею і цілі миротворчої операції в Україні.
Я залишаюсь твердим прихильником того, що багатонаціональна миротворча операція під егідою ООН з чіткою метою припинення російської агресії та відновлення суверенітету та територіальної цілісності України може стати вирішальним фактором для налагодження миру на Донбасі.
Ми готові до конструктивного обговорення цієї ініціативи.
І технічна оціночна місія, яку Генеральний секретар ООН міг би направити на Донбас для розробки відповідних варіантів, безумовно, допомогла б цьому обговоренню.
Для України принциповим є те, що будь-яке рішення про створення миротворчої операції на Донбасі має поширювати її мандат на всю окуповану територію, включаючи кордон, і передбачати виведення російських військ та їхньої зброї з нашої території, а також розпуск усіх незаконних органів та структур.
Важливо також, щоб будь-яка миротворча операція базувалася на ключових миротворчих принципах ООН - насамперед, вона має бути безсторонньою, неупередженою і нейтральною.
Хочу запевнити, що така місія не суперечить Мінським домовленостям, як це намагається представити Росія.
Натомість, це б сильно допомогло у тому, щоб примусити Росію добросовісно виконати Мінські домовленості.
Україна завжди демонструвала добру волю та реальні кроки у їх виконанні.
А що ми отримували у відповідь? Нічого! Агресія триває!
Тому що Росія взагалі не зацікавлена у врегулюванні конфлікту.
Їй байдужі і Донбас, і Крим!
Їй потрібна вся Україна для відновлення другої версії Радянського Союзу!
Український народ не збирається відмовлятися від своєї здобутої дорогою ціною незалежності і ставати на коліна перед агресором.
Російська агресія закінчиться, як тільки кремлівське керівництво вирішить її зупинити і вивести свої війська з території України та повернути контроль над українсько-російським державним кордоном тим, кому він належить.
Хочу нагадати всім: коли ви закликаєте Росію припинити боротьбу, ви закликаєте до завершення війни, а коли ви закликаєте Україну припинити захищати себе, ви закликаєте Україну відмовитися від суверенітету.
 
Пані Голово, 
Озираючись на 5 років, що минули, хочу ще раз запевнити: альтернативи мирному врегулюванню цього міжнародного конфлікту немає.
Саме тому я знову підтверджую з цієї найвищої світової трибуни тверду відданість України багатосторонності та міжнародному праву.
Кремлівська агресія проти нас мала протилежний ефект.
Замість того, щоб підкоритися Росії, ми кинули їй виклик.
Замість того, щоб відмовитися від нашої європейської мрії, ми прискорили свій шлях до неї.
Замість того, щоб схилити наші голови, ми підняли їх високо, і сказали Путіну: ви не розіб'єте нас!
Я закликаю Росію як сторону конфлікту виконати свої зобов'язання за Мінськими домовленостями.
І я прошу цю Асамблею підтримати нас, стати поряд із нами у протидії імперським амбіціям Кремля.
Тільки разом ми можемо примусити Росію –  державу-окупанта та агресора – прийняти свою відповідальність і припинити свої агресивні дії.
І ми вважаємо, що ООН має відігравати важливу роль у цьому.
Звуження ролі Організації Об'єднаних Націй лише до гуманітарної діяльності або моніторингу прав людини в Україні є недостатнім.
Коли в 2018 році Генеральний секретар Антоніу Гутерріш включив питання розв’язання російсько-українського конфлікту до своїх пріоритетів, ми відчули надію.
На жаль, серйозних зрушень так і не відбулося.
Але їх необхідно досягти. Конче необхідно.
Заради Решата Аметова, Володимира Рибака, Юрія Поправка.
Заради тисяч інших жертв цієї жорстокої, потворної, непотрібної війни.
Заради мирних людей. Солдатів. Сімей.
Заради тих, хто так і не повернувся.
Заради тих, хто провів безсонні ночі, оплакуючи їх.
Заради усього світу. Заради миру та честі усього людства.
 
Я дякую вам."
